Mod:Item:MetaData, Localized Name
gregtech:gt.blockmetal8:15, gt.blockmetal8.15.name
gregtech:gt.blockgem1:0, Block of Aer
gregtech:gt.blockgem1:1, Block of Amber
gregtech:gt.blockgem1:2, Block of Amethyst
gregtech:gt.blockgem1:3, Block of Aqua
gregtech:gt.blockgem1:4, Block of Blue Topaz
gregtech:gt.blockgem1:5, Block of Certus Quartz
gregtech:gt.blockgem1:6, Block of Dilithium
gregtech:gt.blockgem1:7, Block of Endereye
gregtech:gt.blockgem1:8, Block of Enderpearl
gregtech:gt.blockgem1:9, Block of Ruby
gregtech:gt.blockgem1:10, Block of Force
gregtech:gt.blockgem1:11, Block of Forcicium
gregtech:gt.blockgem1:12, Block of Forcillium
gregtech:gt.blockgem1:13, Block of Green Sapphire
gregtech:gt.blockgem1:14, Block of Ignis
gregtech:gt.blockgem1:15, Block of Jasper
gregtech:gt.blockgem2:0, Block of Lazurite
gregtech:gt.blockgem2:1, Block of Lignite Coal
gregtech:gt.blockgem2:2, Block of Monazite
gregtech:gt.blockgem2:3, Block of Niter
gregtech:gt.blockgem2:4, Block of Olivine
gregtech:gt.blockgem2:5, Block of Opal
gregtech:gt.blockgem2:6, Block of Ordo
gregtech:gt.blockgem2:7, Block of Perditio
gregtech:gt.blockgem2:8, Block of Phosphorus
gregtech:gt.blockgem2:9, Block of Quartzite
gregtech:gt.blockgem2:10, Block of Red Garnet
gregtech:gt.blockgem2:11, Block of Ruby
gregtech:gt.blockgem2:12, Block of Sapphire
gregtech:gt.blockgem2:13, Block of Sodalite
gregtech:gt.blockgem2:14, Block of Tanzanite
gregtech:gt.blockgem2:15, Block of Terra
gregtech:gt.blockgem3:0, Block of Topaz
gregtech:gt.blockgem3:1, Block of Vinteum
gregtech:gt.blockgem3:2, Block of Yellow Garnet
gregtech:gt.blockgem3:3, Block of Nether Star
gregtech:gt.blockgem3:4, Block of Charcoal
gregtech:gt.blockgem3:5, gt.blockgem3.5.name
gregtech:gt.blockgem3:6, gt.blockgem3.6.name
gregtech:gt.blockgem3:7, gt.blockgem3.7.name
gregtech:gt.blockgem3:8, gt.blockgem3.8.name
gregtech:gt.blockgem3:9, gt.blockgem3.9.name
gregtech:gt.blockgem3:10, gt.blockgem3.10.name
gregtech:gt.blockgem3:11, gt.blockgem3.11.name
gregtech:gt.blockgem3:12, gt.blockgem3.12.name
gregtech:gt.blockgem3:13, gt.blockgem3.13.name
gregtech:gt.blockgem3:14, gt.blockgem3.14.name
gregtech:gt.blockgem3:15, gt.blockgem3.15.name
gregtech:gt.blockreinforced:0, Bronzeplate Reinforced Block
gregtech:gt.blockreinforced:1, Iridium-Tungstensteel Reinforced Block
gregtech:gt.blockreinforced:2, Plascrete Block
gregtech:gt.blockreinforced:3, Tungstensteel Reinforced Block
gregtech:gt.blockreinforced:4, Brittle Charcoal
gregtech:gt.blockreinforced:5, Powderbarrel
gregtech:gt.blockreinforced:6, gt.blockreinforced.6.name
gregtech:gt.blockreinforced:7, gt.blockreinforced.7.name
gregtech:gt.blockreinforced:8, gt.blockreinforced.8.name
gregtech:gt.blockreinforced:9, gt.blockreinforced.9.name
gregtech:gt.blockreinforced:10, gt.blockreinforced.10.name
gregtech:gt.blockreinforced:11, gt.blockreinforced.11.name
gregtech:gt.blockreinforced:12, gt.blockreinforced.12.name
gregtech:gt.blockreinforced:13, gt.blockreinforced.13.name
gregtech:gt.blockreinforced:14, gt.blockreinforced.14.name
gregtech:gt.blockreinforced:15, gt.blockreinforced.15.name
GraviSuite:BlockRelocatorPortal, Unnamed Block, report to mod author.
ImmersiveEngineering:ore:0, Copper Ore
ImmersiveEngineering:ore:1, Bauxite Ore
ImmersiveEngineering:ore:2, Lead Ore
ImmersiveEngineering:ore:3, Silver Ore
ImmersiveEngineering:ore:4, Nickel Ore
ImmersiveEngineering:storage:0, Block of Copper
ImmersiveEngineering:storage:1, Block of Aluminium
ImmersiveEngineering:storage:2, Block of Lead
ImmersiveEngineering:storage:3, Block of Silver
ImmersiveEngineering:storage:4, Block of Nickel
ImmersiveEngineering:storage:5, Block of Constantan
ImmersiveEngineering:storage:6, Block of Electrum
ImmersiveEngineering:storage:7, Block of Steel
ImmersiveEngineering:storage:8, Copper Wire Coil
ImmersiveEngineering:storage:9, Electrum Wire Coil
ImmersiveEngineering:storage:10, High-Voltage Wire Coil
ImmersiveEngineering:storageSlab:0, Copper Slab
ImmersiveEngineering:storageSlab:1, Aluminium Slab
ImmersiveEngineering:storageSlab:2, Lead Slab
ImmersiveEngineering:storageSlab:3, Silver Slab
ImmersiveEngineering:storageSlab:4, Nickel Slab
ImmersiveEngineering:storageSlab:5, Constantan Slab
ImmersiveEngineering:storageSlab:6, Electrum Slab
ImmersiveEngineering:storageSlab:7, Steel Slab
ImmersiveEngineering:stoneSlab:0, Hempcrete Slab
ImmersiveEngineering:stoneSlab:1, Concrete Slab
ImmersiveEngineering:stoneSlab:2, Concrete Tile Slab
ImmersiveEngineering:metalDevice:0, LV Wire Connector
ImmersiveEngineering:metalDevice:1, LV Capacitor
ImmersiveEngineering:metalDevice:1, LV Capacitor
ImmersiveEngineering:metalDevice:2, MV Wire Connector
ImmersiveEngineering:metalDevice:3, MV Capacitor
ImmersiveEngineering:metalDevice:3, MV Capacitor
ImmersiveEngineering:metalDevice:4, Transformer
ImmersiveEngineering:metalDevice:5, HV Wire Relay
ImmersiveEngineering:metalDevice:6, HV Wire Connector
ImmersiveEngineering:metalDevice:7, HV Capacitor
ImmersiveEngineering:metalDevice:7, HV Capacitor
ImmersiveEngineering:metalDevice:8, HV Transformer
ImmersiveEngineering:metalDevice:9, Kinetic Dynamo
ImmersiveEngineering:metalDevice:10, Thermoelectric Generator
ImmersiveEngineering:metalDevice:11, Conveyor Belt
ImmersiveEngineering:metalDevice:12, External Heater
ImmersiveEngineering:metalDevice:13, Item Router
ImmersiveEngineering:metalDevice:14, Core Sample Drill
ImmersiveEngineering:metalDevice:15, Dropping Conveyor Belt
ImmersiveEngineering:metalDevice2:0, Breaker Switch
ImmersiveEngineering:metalDevice2:2, Current Transformer
ImmersiveEngineering:metalDevice2:3, Powered Lantern
ImmersiveEngineering:metalDevice2:4, Floodlight
ImmersiveEngineering:metalDevice2:5, Fluid Pipe
ImmersiveEngineering:metalDevice2:6, Fluid Pump
ImmersiveEngineering:metalDevice2:7, Metal Barrel
ImmersiveEngineering:metalDevice2:8, Creative Capacitor
ImmersiveEngineering:metalDevice2:9, Redstone Breaker
ImmersiveEngineering:metalDevice2:10, Charging Station
ImmersiveEngineering:metalDevice2:11, Blast Furnace Preheater
ImmersiveEngineering:metalDecoration:0, Steel Fence
ImmersiveEngineering:metalDecoration:1, Steel Scaffolding
ImmersiveEngineering:metalDecoration:2, Lantern
ImmersiveEngineering:metalDecoration:3, Structural Arm
ImmersiveEngineering:metalDecoration:4, Radiator Block
ImmersiveEngineering:metalDecoration:5, Heavy Engineering Block
ImmersiveEngineering:metalDecoration:6, Generator Block
ImmersiveEngineering:metalDecoration:7, Light Engineering Block
ImmersiveEngineering:metalDecoration:8, Structural Cable Connector
ImmersiveEngineering:metalDecoration:9, Steel Wall Mount
ImmersiveEngineering:metalDecoration:10, Sheet Metal Block
ImmersiveEngineering:metalDecoration:11, Steel Scaffolding
ImmersiveEngineering:metalDecoration:12, Aluminium Fence
ImmersiveEngineering:metalDecoration:13, Aluminium Scaffolding
ImmersiveEngineering:metalDecoration:14, Aluminium Scaffolding
ImmersiveEngineering:metalDecoration:15, Aluminium Structural Arm
ImmersiveEngineering:metalDecoration2:0, Aluminium Sheet Metal Block
ImmersiveEngineering:metalDecoration2:1, Lead Sheet Metal Block
ImmersiveEngineering:metalDecoration2:2, Steel Sheet Metal Block
ImmersiveEngineering:metalMultiblock:0, Lightning Rod Base
ImmersiveEngineering:metalMultiblock:2, Industrial Squeezer
ImmersiveEngineering:metalMultiblock:3, Fermenter
ImmersiveEngineering:woodenDevice:0, Wooden Post
ImmersiveEngineering:woodenDevice:1, Water Wheel
ImmersiveEngineering:woodenDevice:2, Windmill
ImmersiveEngineering:woodenDevice:3, Improved Windmill
ImmersiveEngineering:woodenDevice:4, Wooden Storage Crate
ImmersiveEngineering:woodenDevice:5, Engineer's Workbench
ImmersiveEngineering:woodenDevice:6, Wooden Barrel
ImmersiveEngineering:woodenDecoration:1, Treated Wood Fence
ImmersiveEngineering:woodenDecoration:2, Treated Wood Slab
ImmersiveEngineering:woodenDecoration:4, Treated Wood Doubleslab
ImmersiveEngineering:woodenDecoration:5, Treated Wood Scaffolding
ImmersiveEngineering:woodenDecoration:6, Wooden Wall Mount
ImmersiveEngineering:treatedWood:0, Treated Wood Planks
ImmersiveEngineering:treatedWood:1, Treated Wood Planks
ImmersiveEngineering:treatedWood:2, Treated Wood Planks
ImmersiveEngineering:woodenStairs, Treated Wood Stairs
ImmersiveEngineering:woodenStairs1, Treated Wood Stairs
ImmersiveEngineering:woodenStairs2, Treated Wood Stairs
ImmersiveEngineering:stoneDevice:4, Insulating Glass
ImmersiveEngineering:stoneDecoration:0, Hempcrete
ImmersiveEngineering:stoneDecoration:1, Coke Brick
ImmersiveEngineering:stoneDecoration:2, Blast Brick
ImmersiveEngineering:stoneDecoration:3, Block of Coal Coke
ImmersiveEngineering:stoneDecoration:4, Concrete
ImmersiveEngineering:stoneDecoration:5, Concrete Tile
ImmersiveEngineering:stoneDecoration:6, Reinforced Blast Brick
ImmersiveEngineering:concreteStairs, Concrete Stairs
ImmersiveEngineering:concreteTileStairs, Concrete Tile Stairs
ImmersiveEngineering:hemp, Industrial Hemp
ImmersiveEngineering:fakeLight, tile.ImmersiveEngineering.fakeLight.name
ImmersiveEngineering:clothDevice, tile.ImmersiveEngineering.clothDevice.name
immersiveintegration:extendablePost, Extendable Wooden Post
immersiveintegration:steelTrapdoor, Steel Trapdoor
immersiveintegration:steelDecoration:0, Coke Oven Wall
immersiveintegration:steelDecoration:1, Heated Coke Oven Wall
immersiveintegration:steelDecoration:2, Coke Oven Port
immersiveintegration:extendedPost, Wooden Post Extension
immersiveintegration:industrialCokeOven, Industrial Coke Oven
immersiveintegration:itemRobin, Item Robin
immersiveintegration:inductionCharger:0, LV Induction Charger
immersiveintegration:inductionCharger:1, MV Induction Charger
immersiveintegration:inductionCharger:2, HV Induction Charger
immersiveintegration:redstoneWireConnector, Redstone Wire Connector
immersiveintegration:meWireConnector, ME Wire Connector
immersiveintegration:meDenseWireConnector, ME Dense Wire Connector
immersiveintegration:meTransformer, ME Transformer
immersiveintegration:meDenseTransformer, ME Dense Transformer
immersiveintegration:aeDecoration:0, Fluix Wire Coil
immersiveintegration:aeDecoration:1, Dense Wire Coil
IronChest:BlockIronChest:0, Iron Chest
IronChest:BlockIronChest:1, Gold Chest
IronChest:BlockIronChest:2, Diamond Chest
IronChest:BlockIronChest:3, Copper Chest
IronChest:BlockIronChest:4, Silver Chest
IronChest:BlockIronChest:5, Crystal Chest
IronChest:BlockIronChest:6, Obsidian Chest
IronChest:BlockIronChest:7, DirtChest 9000!
RedstoneArsenal:Storage:0, Fluxed Electrum Block
RedstoneArsenal:Storage:1, Flux Crystal Block
MineFactoryReloaded:conveyor:16, Conveyor Belt
MineFactoryReloaded:conveyor:0, Conveyor Belt (White)
MineFactoryReloaded:conveyor:1, Conveyor Belt (Orange)
MineFactoryReloaded:conveyor:2, Conveyor Belt (Magenta)
MineFactoryReloaded:conveyor:3, Conveyor Belt (Light Blue)
MineFactoryReloaded:conveyor:4, Conveyor Belt (Yellow)
MineFactoryReloaded:conveyor:5, Conveyor Belt (Lime)
MineFactoryReloaded:conveyor:6, Conveyor Belt (Pink)
MineFactoryReloaded:conveyor:7, Conveyor Belt (Gray)
MineFactoryReloaded:conveyor:8, Conveyor Belt (Light Gray)
MineFactoryReloaded:conveyor:9, Conveyor Belt (Cyan)
MineFactoryReloaded:conveyor:10, Conveyor Belt (Purple)
MineFactoryReloaded:conveyor:11, Conveyor Belt (Blue)
MineFactoryReloaded:conveyor:12, Conveyor Belt (Brown)
MineFactoryReloaded:conveyor:13, Conveyor Belt (Green)
MineFactoryReloaded:conveyor:14, Conveyor Belt (Red)
MineFactoryReloaded:conveyor:15, Conveyor Belt (Black)
MineFactoryReloaded:machineblock:0, Factory Machine Block
MineFactoryReloaded:machineblock:1, Programmable RedNet Controller Housing
MineFactoryReloaded:machine.0:0, Planter
MineFactoryReloaded:machine.0:1, Fisher
MineFactoryReloaded:machine.0:2, Harvester
MineFactoryReloaded:machine.0:3, Rancher
MineFactoryReloaded:machine.0:4, Fertilizer
MineFactoryReloaded:machine.0:5, Veterinary Station
MineFactoryReloaded:machine.0:6, Item Collector
MineFactoryReloaded:machine.0:7, Block Breaker
MineFactoryReloaded:machine.0:8, Weather Collector
MineFactoryReloaded:machine.0:9, Sludge Boiler
MineFactoryReloaded:machine.0:10, Sewer
MineFactoryReloaded:machine.0:11, Composter
MineFactoryReloaded:machine.0:12, Breeder
MineFactoryReloaded:machine.0:13, Grinder
MineFactoryReloaded:machine.0:14, Auto-Enchanter
MineFactoryReloaded:machine.0:15, Chronotyper
MineFactoryReloaded:machine.1:0, Ejector
MineFactoryReloaded:machine.1:1, Item Router
MineFactoryReloaded:machine.1:2, Liquid Router
MineFactoryReloaded:machine.1:3, Deep Storage Unit
MineFactoryReloaded:machine.1:4, LiquiCrafter
MineFactoryReloaded:machine.1:5, Lava Fabricator
MineFactoryReloaded:machine.1:6, Steam Boiler
MineFactoryReloaded:machine.1:7, Auto-Jukebox
MineFactoryReloaded:machine.1:8, Unifier
MineFactoryReloaded:machine.1:9, Auto-Spawner
MineFactoryReloaded:machine.1:10, BioReactor
MineFactoryReloaded:machine.1:11, BioFuel Generator
MineFactoryReloaded:machine.1:12, Auto-Disenchanter
MineFactoryReloaded:machine.1:13, Slaughterhouse
MineFactoryReloaded:machine.1:14, Meat Packer
MineFactoryReloaded:machine.1:15, Enchantment Router
MineFactoryReloaded:machine.2:0, Laser Drill
MineFactoryReloaded:machine.2:1, Laser Drill Precharger
MineFactoryReloaded:machine.2:2, Auto-Anvil
MineFactoryReloaded:machine.2:3, Block Smasher
MineFactoryReloaded:machine.2:4, RedNote Block
MineFactoryReloaded:machine.2:5, Auto-Brewer
MineFactoryReloaded:machine.2:6, Fruit Picker
MineFactoryReloaded:machine.2:7, Block Placer
MineFactoryReloaded:machine.2:8, Mob Counter
MineFactoryReloaded:machine.2:9, Steam Turbine
MineFactoryReloaded:machine.2:10, Chunk Loader
MineFactoryReloaded:machine.2:11, Fountain
MineFactoryReloaded:machine.2:12, Mob Router
MineFactoryReloaded:tank, Plastic Tank
MineFactoryReloaded:cable.plastic, Plastic Pipe
MineFactoryReloaded:cable.redstone:0, RedNet Cable
MineFactoryReloaded:cable.redstone:1, RedNet Cable
MineFactoryReloaded:cable.redstone:2, RedNet Energy Cable
MineFactoryReloaded:cable.redstone:3, RedNet Energy Cable
MineFactoryReloaded:rednet.logic, Programmable RedNet Controller
MineFactoryReloaded:rednet.panel:0, RedNet Historian
MineFactoryReloaded:rail.cargo.pickup, Cargo Pickup Rail
MineFactoryReloaded:rail.cargo.dropoff, Cargo Dropoff Rail
MineFactoryReloaded:rail.passenger.pickup, Passenger Pickup Rail
MineFactoryReloaded:rail.passenger.dropoff, Passenger Dropoff Rail
MineFactoryReloaded:rubberwood.sapling:0, Rubber Sapling
MineFactoryReloaded:rubberwood.sapling:1, Sacred Rubber Sapling
MineFactoryReloaded:rubberwood.sapling:2, Mega Rubber Sapling
MineFactoryReloaded:rubberwood.sapling:3, Sacred Rubber Sapling
MineFactoryReloaded:rubberwood.log, Rubber Wood
MineFactoryReloaded:rubberwood.leaves:0, Rubber Leaves
MineFactoryReloaded:rubberwood.leaves:1, Dry Rubber Leaves
MineFactoryReloaded:stainedglass.block:0, Stained Glass (White)
MineFactoryReloaded:stainedglass.block:1, Stained Glass (Orange)
MineFactoryReloaded:stainedglass.block:2, Stained Glass (Magenta)
MineFactoryReloaded:stainedglass.block:3, Stained Glass (Light Blue)
MineFactoryReloaded:stainedglass.block:4, Stained Glass (Yellow)
MineFactoryReloaded:stainedglass.block:5, Stained Glass (Lime)
MineFactoryReloaded:stainedglass.block:6, Stained Glass (Pink)
MineFactoryReloaded:stainedglass.block:7, Stained Glass (Gray)
MineFactoryReloaded:stainedglass.block:8, Stained Glass (Light Gray)
MineFactoryReloaded:stainedglass.block:9, Stained Glass (Cyan)
MineFactoryReloaded:stainedglass.block:10, Stained Glass (Purple)
MineFactoryReloaded:stainedglass.block:11, Stained Glass (Blue)
MineFactoryReloaded:stainedglass.block:12, Stained Glass (Brown)
MineFactoryReloaded:stainedglass.block:13, Stained Glass (Green)
MineFactoryReloaded:stainedglass.block:14, Stained Glass (Red)
MineFactoryReloaded:stainedglass.block:15, Stained Glass (Black)
MineFactoryReloaded:stainedglass.pane:0, Stained Glass Pane (White)
MineFactoryReloaded:stainedglass.pane:1, Stained Glass Pane (Orange)
MineFactoryReloaded:stainedglass.pane:2, Stained Glass Pane (Magenta)
MineFactoryReloaded:stainedglass.pane:3, Stained Glass Pane (Light Blue)
MineFactoryReloaded:stainedglass.pane:4, Stained Glass Pane (Yellow)
MineFactoryReloaded:stainedglass.pane:5, Stained Glass Pane (Lime)
MineFactoryReloaded:stainedglass.pane:6, Stained Glass Pane (Pink)
MineFactoryReloaded:stainedglass.pane:7, Stained Glass Pane (Gray)
MineFactoryReloaded:stainedglass.pane:8, Stained Glass Pane (Light Gray)
MineFactoryReloaded:stainedglass.pane:9, Stained Glass Pane (Cyan)
MineFactoryReloaded:stainedglass.pane:10, Stained Glass Pane (Purple)
MineFactoryReloaded:stainedglass.pane:11, Stained Glass Pane (Blue)
MineFactoryReloaded:stainedglass.pane:12, Stained Glass Pane (Brown)
MineFactoryReloaded:stainedglass.pane:13, Stained Glass Pane (Green)
MineFactoryReloaded:stainedglass.pane:14, Stained Glass Pane (Red)
MineFactoryReloaded:stainedglass.pane:15, Stained Glass Pane (Black)
MineFactoryReloaded:road:0, Road
MineFactoryReloaded:road:1, Road Light
MineFactoryReloaded:road:4, Road Light (Inverted)
MineFactoryReloaded:plastic, Block of Plastic
MineFactoryReloaded:brick:0, Ice Bricks
MineFactoryReloaded:brick:1, Glowstone Bricks
MineFactoryReloaded:brick:2, Lapis Bricks
MineFactoryReloaded:brick:3, Obsidian Bricks
MineFactoryReloaded:brick:4, Paved Stone Bricks
MineFactoryReloaded:brick:5, Snow Bricks
MineFactoryReloaded:brick:6, Large Ice Bricks
MineFactoryReloaded:brick:7, Large Glowstone Bricks
MineFactoryReloaded:brick:8, Large Lapis Bricks
MineFactoryReloaded:brick:9, Large Obsidian Bricks
MineFactoryReloaded:brick:10, Large Paved Stone Bricks
MineFactoryReloaded:brick:11, Large Snow Bricks
MineFactoryReloaded:brick:12, Raw Meat Block
MineFactoryReloaded:brick:13, Cooked Meat Block
MineFactoryReloaded:brick:14, Large Bricks
MineFactoryReloaded:brick:15, Sugar Charcoal Block
MineFactoryReloaded:stone:0, Smooth Blackstone
MineFactoryReloaded:stone:1, Smooth Whitestone
MineFactoryReloaded:stone:2, Cobble Blackstone
MineFactoryReloaded:stone:3, Cobble Whitestone
MineFactoryReloaded:stone:4, Large Blackstone Bricks
MineFactoryReloaded:stone:5, Large Whitestone Bricks
MineFactoryReloaded:stone:6, Small Blackstone Bricks
MineFactoryReloaded:stone:7, Small Whitestone Bricks
MineFactoryReloaded:stone:8, Blackstone Gravel
MineFactoryReloaded:stone:9, Whitestone Gravel
MineFactoryReloaded:stone:10, Paved Blackstone
MineFactoryReloaded:stone:11, Paved Whitestone
MineFactoryReloaded:pinkslime.block, Pink Slime Block
MineFactoryReloaded:vinescaffold, Vine Scaffolding
MineFactoryReloaded:farmland, Fertile Soil
MineFactoryReloaded:detcord, DetCord
MineFactoryReloaded:milk.still, Milk
MineFactoryReloaded:sludge.still, Sludge
MineFactoryReloaded:sewage.still, Sewage
MineFactoryReloaded:mobessence.still, Essence
MineFactoryReloaded:biofuel.still, BioFuel
MineFactoryReloaded:meat.still, Meat
MineFactoryReloaded:pinkslime.still, Pink Slime
MineFactoryReloaded:chocolatemilk.still, Chocolate Milk
MineFactoryReloaded:mushroomsoup.still, Mushroom Soup
MineFactoryReloaded:steam.still, Steam
TConstruct:liquid.slime, Liquified Slime
TConstruct:MeatBlock, Hambone
TConstruct:WoolSlab1:0, Light Gray Wool Slab
TConstruct:WoolSlab1:1, Cyan Wool Slab
TConstruct:WoolSlab1:2, Purple Wool Slab
TConstruct:WoolSlab1:3, Blue Wool Slab
TConstruct:WoolSlab1:4, Brown Wool Slab
TConstruct:WoolSlab1:5, Green Wool Slab
TConstruct:WoolSlab1:6, Red Wool Slab
TConstruct:WoolSlab1:7, Black Wool Slab
TConstruct:WoolSlab2:0, Gray Wool Slab
TConstruct:WoolSlab2:1, Gray Wool Slab
TConstruct:WoolSlab2:2, Gray Wool Slab
TConstruct:WoolSlab2:3, Gray Wool Slab
TConstruct:WoolSlab2:4, Gray Wool Slab
TConstruct:WoolSlab2:5, Gray Wool Slab
TConstruct:WoolSlab2:6, Gray Wool Slab
TConstruct:WoolSlab2:7, Gray Wool Slab
TConstruct:trap.punji, Punji Stick
TConstruct:trap.barricade.oak, Oak Barricade
TConstruct:trap.barricade.spruce, Spruce Barricade
TConstruct:trap.barricade.birch, Birch Barricade
TConstruct:trap.barricade.jungle, Jungle Barricade
TConstruct:explosive.slime:0, SDX
TConstruct:explosive.slime:2, SDX
TConstruct:slime.gel:0, Congealed Blue Slime
TConstruct:slime.gel:1, Congealed Green Slime
TConstruct:slime.gel:2, Congealed Purple Slime
TConstruct:slime.grass:0, Slimy Grass
TConstruct:slime.grass.tall:0, Slimy Grass
TConstruct:slime.leaves:0, Slimy Leaves
TConstruct:slime.sapling:0, Slimy Sapling
TConstruct:slime.channel, Slime Channel
TConstruct:blood.channel, Blood Channel
TConstruct:slime.pad, Bounce Pad
TConstruct:decoration.stonetorch, Torch
TConstruct:decoration.stoneladder, Ladder
TConstruct:decoration.multibrick:0, Obsidian Brick
TConstruct:decoration.multibrick:1, Sandstone Brick
TConstruct:decoration.multibrick:2, Netherrack Brick
TConstruct:decoration.multibrick:3, Polished Stone Brick
TConstruct:decoration.multibrick:4, Iron Brick
TConstruct:decoration.multibrick:5, Gold Brick
TConstruct:decoration.multibrick:6, Lapis Brick
TConstruct:decoration.multibrick:7, Diamond Brick
TConstruct:decoration.multibrick:8, Redstone Brick
TConstruct:decoration.multibrick:9, Bone Brick
TConstruct:decoration.multibrick:10, Slime Brick
TConstruct:decoration.multibrick:11, Slime Brick
TConstruct:decoration.multibrick:12, Endstone Brick
TConstruct:decoration.multibrick:13, Obsidian Brick
TConstruct:decoration.multibrickfancy:0, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:1, Fancy Sandstone Brick
TConstruct:decoration.multibrickfancy:2, Fancy Netherrack Brick
TConstruct:decoration.multibrickfancy:3, Fancy Polished Stone Brick
TConstruct:decoration.multibrickfancy:4, Fancy Iron Brick
TConstruct:decoration.multibrickfancy:5, Fancy Gold Brick
TConstruct:decoration.multibrickfancy:6, Fancy Lapis Brick
TConstruct:decoration.multibrickfancy:7, Fancy Diamond Brick
TConstruct:decoration.multibrickfancy:8, Fancy Redstone Brick
TConstruct:decoration.multibrickfancy:9, Fancy Bone Brick
TConstruct:decoration.multibrickfancy:10, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:11, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:12, Fancy Endstone Brick
TConstruct:decoration.multibrickfancy:13, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:14, Fancy Stone Brick
TConstruct:decoration.multibrickfancy:15, Stone Road
TConstruct:decoration.multibrickmetal:0, Alumite Brick
TConstruct:decoration.multibrickmetal:1, Ardite Brick
TConstruct:decoration.multibrickmetal:2, Cobalt Brick
TConstruct:decoration.multibrickmetal:3, Manyullyn Brick
TConstruct:decoration.multibrickmetal:4, Fancy Alumite Brick
TConstruct:decoration.multibrickmetal:5, Fancy Ardite Brick
TConstruct:decoration.multibrickmetal:6, Fancy Cobalt Brick
TConstruct:decoration.multibrickmetal:7, Fancy Manyullyn Brick
TConstruct:ore.berries.one:8, Iron Oreberry Bush
TConstruct:ore.berries.one:9, Gold Oreberry Bush
TConstruct:ore.berries.one:10, Copper Oreberry Bush
TConstruct:ore.berries.one:11, Tin Oreberry Bush
TConstruct:ore.berries.two:8, Aluminum Oreberry Bush
TConstruct:ore.berries.two:9, Essence Berry Bush
TConstruct:SearedBrick:1, Cobalt Ore
TConstruct:SearedBrick:2, Ardite Ore
TConstruct:SearedBrick:3, Copper Ore
TConstruct:SearedBrick:4, Tin Ore
TConstruct:SearedBrick:5, Aluminum Ore
TConstruct:GravelOre:0, Iron Gravel Ore
TConstruct:GravelOre:1, Gold Gravel Ore
TConstruct:GravelOre:2, Copper Gravel Ore
TConstruct:GravelOre:3, Tin Gravel Ore
TConstruct:GravelOre:4, Aluminum Gravel Ore
TConstruct:GravelOre:5, Cobalt Gravel Ore
TConstruct:rail.wood, Wooden Rail
TConstruct:MetalBlock:0, Block of Cobalt
TConstruct:MetalBlock:1, Block of Ardite
TConstruct:MetalBlock:2, Block of Manyullyn
TConstruct:MetalBlock:3, Block of Copper
TConstruct:MetalBlock:4, Block of Bronze
TConstruct:MetalBlock:5, Block of Tin
TConstruct:MetalBlock:6, Block of Aluminum
TConstruct:MetalBlock:7, Block of Aluminum Brass
TConstruct:MetalBlock:8, Block of Alumite
TConstruct:MetalBlock:9, Block of Steel
TConstruct:MetalBlock:10, Block of Solid Ender
TConstruct:ToolStationBlock:0, Tool Station
TConstruct:ToolStationBlock:1, Part Builder
TConstruct:ToolStationBlock:2, Part Builder
TConstruct:ToolStationBlock:3, Part Builder
TConstruct:ToolStationBlock:4, Part Builder
TConstruct:ToolStationBlock:5, Pattern Chest
TConstruct:ToolStationBlock:10, Stencil Table
TConstruct:ToolStationBlock:11, Stencil Table
TConstruct:ToolStationBlock:12, Stencil Table
TConstruct:ToolStationBlock:13, Stencil Table
TConstruct:ToolForgeBlock:0, Tool Forge
TConstruct:ToolForgeBlock:1, Tool Forge
TConstruct:ToolForgeBlock:2, Tool Forge
TConstruct:ToolForgeBlock:3, Tool Forge
TConstruct:ToolForgeBlock:4, Tool Forge
TConstruct:ToolForgeBlock:5, Tool Forge
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, tile.Battlesign.name
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
